source,fact
Alt News,"Those who made fake Remedacivir in Gujarat were arrested, people shared only the names of Muslim accused"
Alt News,"Narendra Modi did not announce lockdown, fake news graphic viral on social media"
Alt News,"The viral video of a health worker without a vaccine, not of India but of Mexico"
Alt News,"Wherever the video of people who are fainted, Visakhapatnam is associated with gas leaks, not Korona."
Alt News,People described the picture of Vadodara's Baps temple as Covid ward of Mumbai
Alt News,"News of journalist Pragya Mishra's murder is wrong, pictures of second incident shared"
Alt News,"In this viral video, a person from Hindu community is not killing his wife"
Alt News,Fact-check: Did people of Muslim community enter the temple of Malang Garh in Maharashtra to interrupt Aarti?
Alt News,A video of a quarrel in Delhi's Aerocity was shared with a claim of beating Ajay Devgan
Alt News,Fact-check: People who were troubled by the fine on not wearing masks in Mysore beat up the policemen?
Alt News,Fact-check: Uttaranchal University made a dress code a dress code at the convocation?
Alt News,"Mamta Banerjee did not secretly reach the dargah to offer sheets, media had covered"
Alt News,Yeddyurappa's 1 -week lockdown video in Karnataka is last year
Alt News,Fact-check: India is sending Kovid-19 vaccine to Pakistan for free?
Alt News,"Train is not being canceled due to corona, ABP News video going viral last year"
Alt News,Photos of violence in 2020 are being shared by linking with recent buffalo violence
Alt News,"Video of people falling from fourth floor told of vaccination center in Mumbai, South America incident"
Alt News,America's attack on the Iraqi Mosque in 2008 described Israel's attack in Palestine
Alt News,2018 video of flyover fall in Varanasi shared Hyderabad and Thane's shared
Alt News,The video of 2020 Janata Curfew was shared as a lockdown in Amravati.
Alt News,Zee News and IANS wrongly accused Kashmiri journalist Baba Omar of 'relation to ISI'
Alt News,Fact-Czech: The Twitter Handle's sister-in-law's sister manages the name of Disha Ravi?
Alt News,Fact-check: Delhi High Court ordered to release farmers protesters arrested?
Alt News,"A picture of the old case of suicide was shared in Kolkata, stating that an 8 -year -old girl was murdered."
Alt News,The video of girls extracted due to copy in Bihar board examination is 3 years old
Alt News,"Fact-Czech: When Mumbai local train resumed, huge crowd gathered at Borivali station?"
Alt News,"Sharing the old video of China, it was said that Thailand's Health Minister is afraid of Covid vaccine"
Alt News,Farmers tried to offer tractors on journalists? Fake accounts shared fake story
Alt News,Tumkur health officials rejected the claims of 'drama' to get needle
Alt News,"During the dispute in 2018, police beaten in Ghaziabad, video Bareilly was viral by telling Bareilly"
Alt News,"Neither the President of Suriname, nor any other foreign leaders will come as the chief guest on this Republic Day."
Alt News,"Old with fake claims of child theft, pictures and videos of second incident again went viral"
Alt News,Is birds dying due to 'Jio's 5G trial'? Fake message went viral
Alt News,Video of protests against Hazara massacre in Ladakh is being told POK
Alt News,"Rajat Sharma of India TV's wrong claim, 190 countries did not book Indian covaxine"
Alt News,Fact-check: Pilot was caught in Pakistan's F-16 aircraft urinating?
Alt News,"Nepal's SC did not impose ban on loudspeakers of mosques, order to keep voice slow"
Alt News,Fact-check: Adani Group increased the price of platform tickets of Pune Junction to Rs 50?
Alt News,"Fizzer's vaccine is not 'Made in China', do not believe in viral picture on social media"
Alt News,"Fact-check: ATS raided and caught 10,000 SIM cards issued to the same person?"
Alt News,"While sharing CGI graphics and old videos, he was described as a prevention cyclone"
Alt News,Fact-check: Prime Minister Modi issued a lockdown order again in some states?
Alt News,"Denmark did not enact a law to snatch the right to vote from the Muslim community, share the wrong claim"
Alt News,"In Barcelona, ​​a video of the conflict between police and protesters shared by telling France of France"
Alt News,Most of Facebook's Indian fact-checking partners are ignoring the wrong claims of BJP camp
Alt News,"People of Muslim community who brought top 5 rank in NEET are not the people, people accepted the truth"
Alt News,"This video was not arrest when not wearing masks, the woman misbehaved with a man in the mall"
Alt News,"Wrong claim till date: said, Congress candidate from Bihar put a picture of Jinnah in AMU"
Alt News,"There was no 'attack' on Tanishq Gandhidham in Gujarat, threatened to store people"
Alt News,Uddhav Thackeray's fake picture viral while watching Republic India amid reports of TRP racket
Alt News,"The Muslim Regiment which was never in the Indian Army, fake claims are being made for its weapons"
Alt News,"In the name of 'Atal Tunnel', Indian media showed an 8 -year -old picture of a tunnel in America"
Alt News,"Ranveer did not ask for permission to be together during interrogation of Deepika, wrong media reporting"
Alt News,"In the context of Anushka, Sunil Gavaskar did not say the words, but the controversy was raised on his own"
Alt News,"Actor Rupa Dutta showed screenshots of conversation with someone else, accusing Anurag Kashyap"
Alt News,ABP News launched PUBG clip to show what Fau-G game looks like what it looks like.
Alt News,"Times Now showed the Chinese part of Pangong Lake, the shooting point of '3 Idiots'"
Alt News,"ABP News, Toi, HT showed tweets of fake handle named Riya Chakraborty's father"
Alt News,"India Today Group and Times Now showed the Chinese soldiers killed in the old tombs,"
Alt News,Times Now described the fake account tweet named after Sushant Singh Rajput's sister as 'breaking news'
Alt News,"According to old guidelines, the video made viral, people doubt about wearing masks"
Alt News,Fact-check: Facebook's eye slave cut a cake with 3 colors of Indian flag?
Alt News,Fact-Chec: Suprem Court removed the ‘Satyameva Jayate’ and made ‘Yato Dharmastato Jaya:’?
Alt News,"In the video, her choreographer was dancing with Sushant, the media launched as niece"
Alt News,Many journalists tweeted the false news of former President Pranab Mukherjee's death
Alt News,Bengaluru violence: Hindustan Times printed 60 thousand rioters without verifying
Alt News,Fact-check: The young man shot 2 'saffronis' who got the slogan of 'Jai Shri Ram'?
Alt News,"Captain Deepak Sathe, who was killed in the Kerala plane crash, the old Navy's old video viral"
Alt News,"Old video of Hathini being brought to NGO Center from Math, shared Peta-India blaming India"
Alt News,There were 40 passengers in Air India Crash Corona Positive? Collector told this 'Fake News'
Alt News,"Fake Twitter account was going on in the name of Kashmiri woman Nadia Baig, who cleared UPSC"
Alt News,"Delhi's doctor was arrested in a kidney theft case, but he has no relation with Corona"
Alt News,Slumdog Millionaire's song in skating record video made Chennai child Mumbai chaiwala
Alt News,"Picture of Disha Patni with Aditya Thackeray, people told Riya Chakraborty and talked about disturbances in the investigation"
Alt News,Mock drill video shared with claim of terrorist caught in Delhi's ghaffar market
Alt News,Video of feeding in Rajasthan is being shared indiscriminately due to wrong claim of Dalit harassment
Alt News,The picture published by Hindustan newspaper to show the flood of Bihar is from 9 -year -old Bangladesh.
Alt News,News track and Swarajya published wrong news about Ram temple about Azam Khan in jail
Alt News,"Media houses published fake news, no goat was arrested for not wearing masks"
Alt News,The old picture of Pakistan's school was shared with the aim of showing 'poor circumstances of India'
Alt News,Truck collided with helicopter in Amritsar? Brazilian old video shared with wrong claim
Alt News,Video of patients crowded in Patna's hospital with incorrect claims
Alt News,"Pratap, known as 'Drone Scientist', described German and Japanese drones as his own"
Alt News,"'Corona is not spread by patients without symptoms', now WHO doesn't make any such claim"
Alt News,Media showed the wrong news to complete the clinical trial of Covid-19 vaccine in Russia
Alt News,Nepal killed India's helicopter? The old video of Syria was shared with the wrong claim
Alt News,"Viral video of shark attack on helicopter is not real, Hollywood film scene"
Alt News,"Thanks to the staff of Nanavati Hospital, the video of Amitabh Bachchan is from April"
Alt News,Can a bank balance be 0 by picking up calls starting from +140? Mumbai Police's video viral
Alt News,"IANS's huge lapse, realized fake Twitter account made in the name of Sushant Singh Rajput's father."
Alt News,The same rumor was tried by clipping India TV's fact-check video
Alt News,"The school director of Patna misbehaved with guardian, video was shared by Hyderabad"
Alt News,"The viral lie on the electricity bill of Jama Masjid, which was shown by the Republic TV in 2017"
Alt News,"Fact-check: After the Indo-China clash, did Japan deploy missiles against China?"
Alt News,"Government Fact-Czech told 4 deaths due to 4 deaths in labor train, 3 claims turned out to be wrong"
Alt News,Gopalganj case: Op India accused himself as clean and accused the father of the deceased
Alt News,Old pictures of saving a deer child in Bangladesh are viral as floods in Assam
Alt News,Dainik Bhaskar launched wrong news by CBI chief Alok Verma to keep domestic maid captive
Alt News,The 'Humans of Hindutva' page was suspended by Facebook or lifted by administrator?
Alt News,Major Prafull's fake video being spread by News18 and Dainik Jagran
Alt News,An old picture of Palestine attempts to spread Hindu-Muslim communal hatred
Alt News,Media coverage: Who promoted BJP's story on Iyer's 'Aurangzeb' comment?
Alt News,Was there an unfair behavior with the President in the marriage of the daughter of the IAS officer?
Alt News,There are reports of Muslims burning national flag in Punjab and raising slogans of 'Pakistan Zindabad'
Alt News,Did slogans raised slogans in support of Pakistan at AIMIM rally in Ghaziabad?
Alt News,BJP spokesperson described those who threatened Deepika Padukon of Congress/AAP/SP. But what is the truth?
Alt News,Who runs fake news website daily India? Let's find out
Alt News,The news of the 'separation' of the idol of Swami Vivekananda by Muslims is false
Alt News,Did the BJP IT cell already know about the ANI article?
Alt News,Did India's ranking down 45 places to the global starvation index between 2014 and 2017?
Alt News,Biovest treatment plant is dissolving poison in the lungs of the poor of Mumbai
Alt News,Communal rumors of the death of Delhi's e-rickshaw driver spread by the support of Francois Gautier
Alt News,"BJP leader's racist remarks - ""We are not casteist, we live with South Indians"""
Alt News,"Is 'Modi's India' bright shining in 2016 as compared to the year 2012, as the 'DNA' newspaper has claimed on the basis of NASA's paintings?"
Alt News,"Within a year, more than 1 lakh people in India resumed taking advantage of LPG subsidy."
Alt News,Another issue of embarrassment for Kerala BJP regarding the strike - the post -mortem report proved high blood pressure due to the death of BJP worker
Alt News,"When 3 Hindu men demanded the ends of 5 cows ""at any cost"", residents of Birbhum in West Bengal became suspicious"
Alt News,10 RSS workers arrested for killing 17 -year -old former RSS member
Alt News,"Kerala BJP leader says that he will start ""good slaughterhouses"" on his victory"
Alt News,Love jihad stylus descended on the walls of Ahmedabad
Alt News,Egypt's dramatic video shares targeting Muslim community in India
Alt News,Video of boys putting beer on Shivling shared with false communal angle
Alt News,The poster of 2015 film 'Mohammad' was edited and shared
Alt News,"In Khandwa district of MP, Muslim youth did not cut the sage's hair and beard, wrong claims"
Alt News,The picture being shared by telling the Shivling found in the Gyanvapi mosque turned out to be Vietnam
Alt News,The statue of Nandi placed in a temple in Maharashtra is being told in front of the Gyanvapi mosque
Alt News,Sudarshan News shared a wrong claim to create a tomb at the Gita preaching site
Alt News,"In Russia, the old video of people offering prayers on Eid on the occasion of Eid"
Alt News,Haryana video viral by calling Muslim attack on Hindu person in Rajasthan
Alt News,Video of Pakistani man with 15 children targeting Indian Muslims
Alt News,5 months old video of robbery and murder incident in Delhi shared with communal angle
Alt News,Video of assault in real brothers over property dispute is viral with Hindu-Muslim angle
Alt News,West Bengal's 2 -year -old video was shared by loudspeaker controversy
Alt News,Fact-check: Muslims pelted stones at the train due to difficulty in offering prayers?
Alt News,Police arrested Muslim women who pelted stones at Ramnavami procession?
Alt News,Share by stating the old pictures of the tomb breaking in UP
Alt News,Muslims in Kerala captured the 'temple'? Masjid video of Mangalore viral
Alt News,Fact-check: A Muslim person in Kerala tried to feed the elephant 'meat'?
Alt News,"After the Karauli violence, people pledged not to vote for the Congress? Old video"
Alt News,The viral video of anti -Muslim slogans in Tripura is old
Alt News,Telangana video viral by telling a person who threatened Hindus in violence affected Karauli
Alt News,Is the person who caught the head constable who went to remove the handcart? 2016 photo viral
Alt News,"Video of mutual quarrel in Mirzapur viral with anti-Muslim angle, journalists also shared"
Alt News,Muslim fruit seller is working to cheat Hindus? Scripted video viral
Alt News,A video of a person carrying corpse in suitcase in Uttarakhand viral with false claims of 'Love-Jehad'
Alt News,Scripted video of Darji misbehaving with women is viral with false communal angle
Alt News,"Share with the wrong communal angle of assault between customers and employees in Dhaba, Haryana"
Alt News,Old video of youth murder in Delhi shared with wrong communal angle
Alt News,Karnataka hijab controversy: JDS member Najma Nazir's pictures viral with misleading claims
Alt News,"This viral picture is not of Muskan, a student who opposed the saffron crowd in Mandya"
Alt News,"On Republic Day, Muslim women prevented people from hoisting the national flag? Wrong claim"
Alt News,Video share of 2020 Delhi riots by beating Muslim youth of Rajasthan in Kashmir
Alt News,The Shiva temple was closed in Rajasthan and made a tomb over it? Sudarshan News's wrong news
Alt News,Alt News Impact: Facebook and YouTube suspend the hate accounts
Alt News,Bajrang Dal caught two adults traveling in the train and made false allegations of 'Love Jihad'
Alt News,Fact-Czech: Raided 128 kg of gold at the house of the priest of Tirupati Balaji temple?
Alt News,Video of a person's murder on the road in broad daylight in Egypt is viral with communal angle
Alt News,Another scripted video viral with 'Love-Jehad' claim
Alt News,Muslims admitted that it is necessary to 'spit' in Halal? Indu Makkal Kachi's wrong claim
Alt News,Scripted video of boys feeding female intoxicating cake viral with anti-Muslim angle
Alt News,Video made with the purpose of spreading awareness with anti-Muslim angle
Alt News,Muslims are being targeted with wrong claims of selling cakes made of bullets that make impotent in India
Alt News,"The video of people who adulterated rice was shared with communal angle, not from India"
Alt News,"Fact-check: Are Maulana ""spit"" in viral video?"
Alt News,Communal angle being given to fight between priests in Vindhyachal temple of Mirzapur
Alt News,Video of the encounter between robbing miscreants and police viral with communal angle
Alt News,"Old video of murder in Bangladesh, shared by telling the atrocities on Muslims in Tripura"
Alt News,Fact-check: People of Muslim community in Kolkata landed on the road to stop worship at the Kali Math temple?
Alt News,"Woman beat up husband and other woman, video shared from Hindu-Muslim angle"
Alt News,Video of violence in Durga Puja Pandal in Bangladesh was shared as West Bengal
Alt News,"Father and daughter finished the text of Quran together, the picture was shared with anti-Muslim claims"
Alt News,Fire in houses in Srinagar shared with communal claims of burning temple
Alt News,The old video of the accident in Russia shared as the death of the artist who created a disputed cartoon
Alt News,"Old video of UP went viral with fake communal angle, talk reached to boycott of Indian goods"
Alt News,A video related to family dispute in Syria was shared on social media as 'human bomb'
Alt News,"Both boys involved in a conversation on Hindu-Muslim issue, a boy from the Hindu community, were being described as Muslims."
Alt News,"Viral video of a person caught in Burka, Bangladesh's case was a case of liquor smuggling"
Alt News,Video of assault between 2 families in Jodhpur went viral with Hindu-Muslim angle
Alt News,Video of Colombia's protests with claims of atrocities on Christians in Afghanistan
Alt News,The old picture of boys and girls caught in hookah bar was shared with Hindu-Muslim angle
Alt News,Hyderabad's video share with claims of preventing Hindus from performing Ganesh worship in Kerala
Alt News,The video that Amitabh Bachchan tweeted about Ganpati's first darshan is 5 years old.
Alt News,"Fact-check: During the excavation in the mosque, the idol of Hindu deity Nandi came out?"
Alt News,Abdul Kalam's alleged statement about madrasas went viral which he never said
Alt News,"In the picture shared by making fun of the Muslim community, the message written on the plank is edited in it."
Alt News,"Video of threatening to steal electricity and kill him older, not India of Pakistan"
Alt News,Sudarshan News added fake 'Hindu-Muslim' angle in the incident of attack on a person in Ghaziabad
Alt News,Video of murder in Karnataka is viral by describing Rajasthan with fake communal angle
Alt News,"The video of a woman with 18 children is viral with communal claims, women are from Hindu community"
Alt News,"After 5 years, the disputed advertisement of Myntra being shared again was created by another company"
Alt News,"Several hoardings with fake communal statements of Muslim personalities were installed in Pratapgarh, UP"
Alt News,Tamil Nadu's 2 -year -old video shared by Muslims with a claim of demolition of Ambedkar's statue in Kerala
Alt News,Fact-check: People of Muslim community are standing in the Ganges and offering prayers?
Alt News,"In Indonesia, the claim of getting a statue of 5 thousand years old Hindu deities is wrong, this is a 'Temple Garden'"
Alt News,"Fact-check: Cow fraction is found in Himalaya's neem, basil, garlic supplements?"
Alt News,Fact-check: Cow meat is used in Cadbury products in India?
Alt News,Fact-check: Amul removed 1 lakh 38 thousand people due to eating cow meat?
Alt News,Fact-check: Muslim girls were asked to 'trap' Muslim girls to increase Congress votes?
Alt News,The person is not the owner of Himalaya Company asking to boycott Reliance
Alt News,Bangladesh being shared by targeting Indian Muslims for increasing population
Alt News,Video of incident of killing 2 daughters and injuring wife went viral with communal claim
Alt News,Myanmar's old report shared in the name of killing Hindus by Rohingya Muslims in Kolkata
Alt News,The idol in the rock garden of Karnataka told the picture of the Naga Vasuki temple of Prayagraj
Alt News,The viral video showing adulteration in milk is from Pakistan
Alt News,The video of the statue breaking in Algeria was shared with an anti-Muslim claim by telling Italy.
Alt News,"Video of tractor offering on cow viral, people shared with Hindu-Muslim angle"
Alt News,"While sharing old pictures, Jain monks were wrongly claimed by Muslims in Karnataka"
Alt News,Ahmedabad video shared with the wrong claim of beating Muslim mob policemen in Hyderabad
Alt News,The old video of women wearing a burqa standing in the queue went viral with false claims
Alt News,"The owner of Himalaya said 'We Muslims first, Indian later'? Old video of SP leader viral"
Alt News,Edited picture of American news anchor went viral by telling the supporter of AP's Hamas reporter
Alt News,"Couple did not refuse to go to Hanuman sticker ambulance in Kerala, fake news graphic share"
Alt News,Fact-check: Did Muslim parents get their daughter married to Hindu boy in Kerala?
Alt News,"Fact-check: During the Holi celebration in Bulandshahr, 'jihadis' threw an acid bottle on 2 boys?"
Alt News,The women seen in the picture neither converted nor have any connection with the 1971 battle.
Alt News,"After the argument, the mob beat the policemen, the video of the incident viral with communal claim"
Alt News,A video made for road safety awareness became the reason for spreading communalism
Alt News,Video of the child beating the child in the madrasa is not India but Bangladesh
Alt News,Nearly 3 year old video of urinating on Shivling is viral with wrong communal angle
Alt News,"Fact-Czech: In the temple of Tamil Nadu, it rained only on the idol of Natraj?"
Alt News,Video of a woman training in gym and her trainer viral in India with 'Love Jihad' claim
Alt News,"Fact-check: Weapons recovered from the madrasa of UP, riots failed?"
Vishvasnews,Fact Check: This news is fake viral about entry into Ayodhya Ram temple
Vishvasnews,Fact Check: This video of Ajan at the time of prayer in school is not from Jharkhand but from Assam
Vishvasnews,Fact Check: Aaj Tak Fake tweet went viral in the name of news channel
Vishvasnews,Fact Check: Edged excerpt of Rahul Gandhi's speech at Udaipur Chintan Camp viral from misleading claim
Vishvasnews,Fact Check: Sharad Pawar and Eknath Shinde's meeting is being shared by telling the old picture of the meeting
Vishvasnews,Fact Check: A photo of CM Kejriwal eating food in Bhandare is being shared by linking with Bhagwant Mann's wedding
Vishvasnews,Fact Check: Video of Congress leader Netta D'Souza went viral in the name of activist Teesta Setalvad
Vishvasnews,Fact Check: Registration link being shared in the name of Pradhan Mantri Unemployed Allowance Scheme 2022
Vishvasnews,Fact Check: Pakistan's video became viral again in the name of protest against Agneepath scheme
Vishvasnews,"Fact Check: Dasna's factory explosion claims that 40 people killed in fabrication and fake, video of other accidents viral with misleading claims"
Vishvasnews,Fact Check: APJ Abdul Kalam did not give this statement about banning madrasas
Vishvasnews,Fact Check: These pictures of the removal of encroachment in Unnao are of the CM tenure of Akhilesh Yadav.
Vishvasnews,Fact Check: Video on the Internet since 2020 went viral in the name of lathicharge in Kanpur
Vishvasnews,Fact Check: Sonia Gandhi's seven -year -old video is being shared in the wrong context
Vishvasnews,Fact Check: incomplete video of CM Ashok Gehlot viral with wrong reference
Vishvasnews,Fact Check: This picture of Jawaharlal Nehru and tribal woman is not related to Bhabha Atomic Plant
Vishvasnews,"Fact Check: Mahatma Gandhi is seen with members of Football Club, not with British soldiers"
Vishvasnews,"Fact Check: This video is of the last visit of the martyr, not Sidhu Mosewala's"
Vishvasnews,Fact Check: The old picture of rewarding Nikhat Zarine is being shared with misleading claims
Vishvasnews,Fact Check: Gangster Goldie Brar is not seen in the picture with Bhagwant Mann
Vishvasnews,"Fact Check: Meerut Police did not impose this banner against BJP, wrong claim due to propaganda intention"
Vishvasnews,"Fact Check: This picture of Prime Minister Modi is edited, fake picture viral with the intention of propaganda"
Vishvasnews,"Fact Check: Claims of getting knowledgeable controversy and Shivling in headlines, read top 5 fact check reports"
Vishvasnews,Fact Check: BJP MLA Vanati Srinivasan's photo editing is viral
Vishvasnews,Fact Check: Picture of a performance in Kolkata two years ago by linking PM Modi's tour to Tamil Nadu tour
Vishvasnews,Fact Check: Edged photo of Kanyakumari railway station viral before PM Modi's visit to Tamil Nadu
Vishvasnews,Fact Check: Screenshot of fake tweet in the name of LK Advani viral on social media
Vishvasnews,Fact Check: A 5 -year -old video of floods in Araria district of Bihar is being viral as Assam
Vishvasnews,Fact Check: Gorakhpur MP Ravi Kishan's old advertisement now viral with wrong reference
Vishvasnews,Fact Check: The viral picture is from Bangladesh with the claim of the growing population of Muslims in Nainital
Vishvasnews,"Fact Check: Before the release of Azam Khan's arrest, it is being viral"
Vishvasnews,"Fact Check: Australia's PM Anthony Albanese did not take oath by wearing saffron scarves, wrong claim viral"
Vishvasnews,Fact Check: Edged video of Kerala's Women's Congress program viral in the name of Congress's contemplation camp
Vishvasnews,"Fact check: misleading claim about Seema Kushwaha, lawyer of Nirbhaya case, viral"
Vishvasnews,Fact Check: This video with a watering Shivling does not have any relation with Gyanvapi
Vishvasnews,Fact Check: Bhajan of Prem Bhushan Ji Maharaj was viral in the name of PM Modi
Vishvasnews,"Fact Check: This picture is not of the Congress office, but of the Indian Union Muslim League office"
Vishvasnews,"Fact Check: Kashmiri Pandit got Priyanka Gandhi and Robert Vadra married, not Maulvi"
Vishvasnews,"Fact Check: PM Modi had targeted former CM Manik Sarkar in election speech, video is going viral in the name of Manik Saha"
Vishvasnews,Fact Check: Picture of Shivling found in Vietnam viral in the name of Gyanvapi mosque
Vishvasnews,Fact Check: Fake claims viral again in the name of child helpline 1098
Vishvasnews,Fact Check: Jawaharlal Nehru's old picture viral with objectionable claims on social media
Vishvasnews,"Fact Check: Worker attempted self -immolation, unhappy with SP's defeat in UP elections, misleading claim viral"
Vishvasnews,Fact Check: Fake tweet made using the picture of RSS chief Mohan Bhagwat
Vishvasnews,Fact Check: Picture of Chandeshwar Temple and Ajmer Dargah in Odisha viral in the name of Gyanvapi
Vishvasnews,Fact Check: Fake statement went viral on social media in the name of former Tripura CM Biplab Deb
Vishvasnews,"Fact Check: Claims to create tomb of Muslims on Jyotisar pilgrimage in Kurukshetra, wrong and communal propaganda"
Vishvasnews,"Fact Check: People seen in viral video are not Sri Lanka's MP, video with misleading claims viral"
Vishvasnews,Fact Check: Old and edited picture viral in the name of Congress contemplation camp in Udaipur
Vishvasnews,"Fact Czech: 'Hijab Girl' Smile did not die, fake post is getting viral"
Vishvasnews,Fact Check: Five years old news went viral about Maharana Pratap
Vishvasnews,Fact Check: Bangladesh video is being viral with wrong claims by telling India
Vishvasnews,"Fact Check: Claims of appearing for gold chariots from sea waves in Sunnapalli in Srikakulam district of Andhra, misleading"
Vishvasnews,Fact Check: The old news of actor Arvind Trivedi's death is viral with misleading claims
Vishvasnews,"Fact Check: Identifying the color of this shoe does not show which part of the brain is more active, viral claim is misleading"
Vishvasnews,"Fact Check: The old news of the old news of the discount of the debt of the willful defaulters including Nirav Modi, Mallya, viral due to misleading claim"
Vishvasnews,Fact Check: Arvind Kejriwal's video is being clipped and is being done viral with wrong claims
Vishvasnews,"Fact Check: During Ramadan in Moscow, Namaz video is being done viral by describing France"
Vishvasnews,Fact Check: Wireless tweet turning out to bail Muslims midnight in Rajasthan turns out to be fake
Vishvasnews,Fact Check: Amethi's picture went viral with fake claims
Vishvasnews,"Fact Check: Raghuram Rajan was not made Governor of Bank of England, fake claims viral on social media"
Vishvasnews,Fact Check: Edited Part of Gehlot's old speech given in NSUI program viral from misleading claim
Vishvasnews,Fact Check: The old video of the clash between BJP leaders went viral in the name of AAP leader
Vishvasnews,"Fact Check: Sirfire Aashiq killed a woman in Murshidabad, video being made viral by giving communal color"
Vishvasnews,"Fact Check: Manish Sisodia did not give this statement about BJP, edited video went viral"
Vishvasnews,"Fact Check: Islamic flag not removed by removing the tricolor flag in Jodhpur, misleading claims viral"
Vishvasnews,Fact Check: Video of the injured policeman injured in Jodhpur violence was viral with wrong claims
Vishvasnews,Fact Check: Video of assault in mutual rivalry in Haryana is being linked to Rajasthan's communal violence
Vishvasnews,Fact Check: PM Modi's edited video viral with fake claims being made
Vishvasnews,Fact Check: 10 year old picture of Rahul Gandhi and Jyotiraditya Scindia went viral on social media in wrong context
Vishvasnews,Fact Check: This picture of meeting between PM Modi and German Chancellor is edited
Vishvasnews,Fact Check: People are making India's understanding viral in India
Vishvasnews,Fact Check: 3 -year -old video of CM Shivraj is being viral by telling recent
Vishvasnews,"Fact Check: CM Ashok Gehlot did not give permission for Muslim religion conference in Kumbhalgarh Fort, fake claim viral"
Vishvasnews,Fact Check: 2012 photo viral from misleading claim in Ajan vs Hanuman Chalisa controversy
Vishvasnews,Fact Check: This viral video related to Ashok Gehlot's son is three years old
Vishvasnews,"Fact Check: No subject named Islamic Studies has been added to UPSC exam, fake claim viral"
Vishvasnews,Fact Check: Video of clash during Iftar in 2019 in Saudi Arabia viral with misleading claim
Vishvasnews,Fact Check: CCTV footage of old incident of robbery and murder in Delhi viral with confusing claims with communal color
Vishvasnews,"Fact Check: With the five -year -old news viral, now the Chief Minister of Jharkhand has been targeted"
Vishvasnews,Fact Check: Picture of arrest of the accused of prostitution in MP viral in the name of students of Allahabad University viral
Vishvasnews,Fact Check: Yuvraj Singh's father Yograj Singh playing cricket while playing cricket is being shared by PM Modi
Vishvasnews,Fact Check: Fake tweet went viral again in the name of Nita Ambani
Vishvasnews,"Fact Check: Dr. Bhimrao Ambedkar's childhood is not of viral photo, fake claim viral"
Vishvasnews,Fact Check: Fake post -posting letter to Owaisi's UN is getting viral
Vishvasnews,"Fact Check: Ambedkar's picture is not printed on US $ 100 note, fake viral photo"
Vishvasnews,Fact Check: Rangpanchami video of Indore was viral by telling the victory of the victorious Congress candidate of Kolhapur
Vishvasnews,Fact Check: The 3 -year -old incident of murder of a drug inspector in Punjab is being done viral
Vishvasnews,"Fact Check: Video of threatening police is related to the old incident in Maharashtra, viral in the name of Delhi violence"
Vishvasnews,"Fact Check: This picture of rude behavior of IAS officer is not recent, misleading claims viral"
Vishvasnews,Fact Check: The viral video of slogans in support of Delhi Police is of 2019
Vishvasnews,Fact Check: Picture of violent performance in Lucknow in 2012 is viral in the name of Delhi violence
Vishvasnews,Fact Check: Video of arrest in Moradabad during lockdown is viral in the name of Khargone violence
Vishvasnews,Fact Check: Viral post in the name of the first Iftar party of independent India is fake
Vishvasnews,Fact Check: Slogans of 'Owaisi Sahab Zindabad' not 'Pakistan Zindabad' in Jaipur
Vishvasnews,Fact Check: A video of a girl caught with a gun in Mainpuri went viral with wrong claim
Vishvasnews,Fact Check: The picture of Sidhi of Madhya Pradesh was viral with a fake claim by terming it as Gujarat
Vishvasnews,Fact Check: 9 -year -old photo of performance in Haryana went viral with misleading claims
Vishvasnews,"Fact Check: This picture of copying in the exam is from Vaishali district of Bihar, misleading claims are viral"
Vishvasnews,"Fact Check: This old video belongs to a school in Uttar Pradesh, not Delhi, viral claim is misleading"
Vishvasnews,Fact Check: Arvind Kejriwal's old hoardings were tampered with viral
Vishvasnews,"Fact Check: Tampering with Arvind Kejriwal's interview clip, users are true"
Vishvasnews,Fact Check: This video is going viral with a claim of threatening the police in Karauli
Vishvasnews,"Fact Check: The picture of film maker Vinod Kapri is being done viral by telling the accused of attack on Gorakhnath temple, Murtaza"
Vishvasnews,"Fact Check: Uttar Pradesh government did not release meat shops to close, wrong claims viral on social media"
Vishvasnews,"Fact Check: This picture of Kejriwal and Bhagwant Mann is fake, photo prepared from editing is viral with wrong claims"
Vishvasnews,"Fact Check: Telangana police, not BJP workers, had waved the flag, misleading claims viral"
Vishvasnews,"Fact Check: Akhilesh Yadav did not give viral statement about Keshav Prasad Maurya, old clip now viral with wrong reference"
Vishvasnews,Fact Check: Rahul Gandhi's picture is being done viral again by describing Quattrocchi
Vishvasnews,Fact Check: This picture of protests outside Delhi CM Kejriwal's residence is edited
Vishvasnews,Fact Check: People understood the fictional picture made to make environment aware and viral
Vishvasnews,Fact Check: The old incident of Phagwara is being done viral by giving communal color
Vishvasnews,Fact Check: 4 years ago video of Ranchi Shobha Yatra went viral as Uttar Pradesh
Vishvasnews,Fact Check: The picture of the encounter between Maoists and the police in Bengal in 2010 is viral from the wrong claim
Vishvasnews,"Fact Check: These pictures are not related to Russia-Ukraine War, misleading claims are viral"
Vishvasnews,"Fact Check: 25 crore people did not attend Aam Aadmi Party rally, The New York Times edited screenshot went viral"
Vishvasnews,Fact Check: Five years old picture of Lucknow viral in the name of Noida with fake claims of love jihad
Vishvasnews,Fact Check: PM Modi's 2016 video viral with wrong reference
